participant_id,Manip_intimacy,manip_thoughtful,manip_awkward,group_engage,group_enjoy,group_laugh,group_fun,group_close,group_like,group_other_like,group_other_tell,group_other_share,group_other_honest,group_other_know,group_tell,group_intimate,group_honest,group_know,IOS_slider_1,know_prior_study,know_prior_number,self_letter,personA_know,personA_name,personA_convos,PersonB_know,PersonB_name,PersonB_convos,PersonC_know,PersonC_name,PersonC_convos,PersonD_know,PersonD_name,PersonD_convos,technical_issues_p1,session,condition
149C,3,3,3,4,3,3,3,3,2,3,2,3,4,3,3,3,4,3,3.00,0,3,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,149,0
150A,2,3,2,4,4,3,4,2,5,4,4,3,4,4,4,4,5,4,4.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,150,1
150B,1,5,2,4,3,4,3,2,5,4,4,2,4,4,4,2,5,4,5.00,0,3,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,150,1
151A,2,4,1,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,5.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,No issues,151,0
151B,4,5,2,4,4,4,5,3,5,4,3,3,4,3,3,3,5,3,5.00,0,3,2,2,0,4,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,Nothing in particular.,151,0
155C,2,3,3,3,3,3,2,2,4,3,4,3,3,3,3,3,4,3,3.00,0,4,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,1,0,1,I didn't have any technical difficulties but was given a different question sheet for Question Set 2 and 3 compared to the rest of my group.,155,1
155A,2,4,1,4,4,2,3,1,5,3,4,3,4,4,3,2,5,3,3.00,0,4,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,1,0,1,,155,1
155D,2,3,2,4,4,3,3,3,4,3,3,3,4,3,3,3,4,2,4.00,1,4,4,1,0,5,1,1,2,1,0,1,#NULL!,#NULL!,#NULL!,just had some difficulties setting up zoom,155,1
155B,2,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,4,3,2.00,0,4,2,2,0,5,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,,155,1
156A,3,4,2,4,4,1,3,3,3,4,3,3,4,4,4,4,5,4,4.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,156,0
156B,2,3,2,5,5,2,3,3,4,4,4,5,5,5,4,4,5,5,6.00,0,3,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,none,156,0
156C,3,3,2,4,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3.00,0,3,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,156,0
157A,3,4,1,3,4,2,4,2,4,4,3,3,4,3,3,3,5,3,5.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,N/A,157,0
157B,3,4,2,4,4,3,4,4,4,3,3,3,4,4,3,3,4,4,4.00,0,3,2,3,0,5,#NULL!,#NULL!,#NULL!,2,0,1,#NULL!,#NULL!,#NULL!,,157,0
158A,3,5,2,4,4,3,5,3,4,4,4,4,5,4,5,4,5,4,4.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,NA,158,1
158B,2,4,2,4,3,3,3,2,3,3,3,3,4,4,3,3,4,3,4.00,0,3,2,3,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,158,1
159A,2,3,2,4,3,3,3,1,3,3,2,3,4,3,3,3,3,3,2.00,0,3,1,#NULL!,#NULL!,#NULL!,2,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,159,1
159B,2,2,2,3,4,3,4,3,4,3,4,3,5,3,4,3,5,3,3.00,0,3,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,There were only 2 of us.,159,1
160A,3,4,2,4,4,3,4,3,4,3,3,3,4,3,3,3,4,3,6.00,1,3,1,#NULL!,#NULL!,#NULL!,3,1,3,1,0,1,#NULL!,#NULL!,#NULL!,,160,0
160C,3,5,1,5,5,3,4,3,4,3,4,3,4,3,4,4,5,5,5.00,0,3,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,160,0
160B,3,4,3,4,4,4,3,3,4,3,4,3,4,4,4,3,4,4,5.00,1,3,2,1,1,3,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,160,0
161A,2,3,3,3,4,3,3,3,4,3,3,2,4,3,3,3,4,3,3.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,161,1
161B,2,3,2,4,3,2,3,2,4,3,3,3,4,3,3,3,5,3,4.00,0,3,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,161,1
166C,4,4,2,3,3,1,1,1,3,3,3,3,5,2,3,3,5,3,2.00,0,3,3,1,0,5,1,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,166,1
166B,2,3,3,2,2,2,2,1,3,3,2,2,3,3,3,3,5,3,2.00,1,3,2,2,1,4,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,166,1
166A,2,4,5,4,1,2,2,1,3,2,3,3,4,3,2,1,5,3,1.00,1,3,1,#NULL!,#NULL!,#NULL!,2,1,2,1,0,1,#NULL!,#NULL!,#NULL!,,166,1
